Date,Open,High,Low,Close,Adj Close,Volume
1991-08-06,54.689999,54.689999,54.689999,54.689999,54.689999,680
1991-08-07,50.000000,50.000000,50.000000,50.000000,50.000000,960
1991-08-08,50.000000,50.000000,50.000000,50.000000,50.000000,480
1991-08-09,51.564999,56.250000,51.564999,51.564999,51.564999,1304
1991-08-12,51.564999,51.564999,51.564999,51.564999,51.564999,680
1991-08-13,53.125000,53.125000,53.125000,53.125000,53.125000,2064
1991-08-14,53.125000,53.125000,53.125000,53.125000,53.125000,920
1991-08-15,54.689999,54.689999,54.689999,54.689999,54.689999,520
1991-08-16,54.689999,54.689999,54.689999,54.689999,54.689999,5200
1991-08-19,53.125000,53.125000,53.125000,53.125000,53.125000,840
1991-08-20,54.689999,54.689999,54.689999,54.689999,54.689999,3160
1991-08-21,60.160000,60.160000,60.160000,60.160000,60.160000,5624
1991-08-22,57.814999,57.814999,57.814999,57.814999,57.814999,3504
1991-08-23,59.375000,59.375000,59.375000,59.375000,59.375000,7800
1991-08-26,59.375000,59.375000,59.375000,59.375000,59.375000,1320
1991-08-27,57.814999,57.814999,57.814999,57.814999,57.814999,760
1991-08-28,57.814999,57.814999,57.814999,57.814999,57.814999,640
1991-08-29,57.814999,57.814999,57.814999,57.814999,57.814999,880
1991-08-30,59.375000,59.375000,59.375000,59.375000,59.375000,1840
1991-09-03,57.814999,57.814999,57.814999,57.814999,57.814999,1704
1991-09-04,57.814999,57.814999,57.814999,57.814999,57.814999,1560
1991-09-05,60.939999,60.939999,60.939999,60.939999,60.939999,1680
1991-09-06,60.939999,60.939999,60.939999,60.939999,60.939999,1520
1991-09-09,60.939999,60.939999,60.939999,60.939999,60.939999,864
1991-09-10,60.939999,60.939999,60.939999,60.939999,60.939999,480
1991-09-11,62.500000,62.500000,62.500000,62.500000,62.500000,1320
1991-09-12,62.500000,62.500000,62.500000,62.500000,62.500000,2560
1991-09-13,64.065002,64.065002,64.065002,64.065002,64.065002,5760
1991-09-16,64.065002,64.065002,64.065002,64.065002,64.065002,944
1991-09-17,62.500000,62.500000,62.500000,62.500000,62.500000,0
1991-09-18,64.065002,64.065002,64.065002,64.065002,64.065002,640
1991-09-19,64.065002,64.065002,64.065002,64.065002,64.065002,664
1991-09-20,65.625000,65.625000,65.625000,65.625000,65.625000,1144
1991-09-23,65.625000,65.625000,65.625000,65.625000,65.625000,160
1991-09-24,64.065002,64.065002,64.065002,64.065002,64.065002,800
1991-09-25,64.065002,64.065002,64.065002,64.065002,64.065002,200
1991-09-26,64.065002,64.065002,64.065002,64.065002,64.065002,560
1991-09-27,65.625000,65.625000,65.625000,65.625000,65.625000,880
1991-09-30,65.625000,65.625000,65.625000,65.625000,65.625000,680
1991-10-01,67.190002,67.190002,67.190002,67.190002,67.190002,1920
1991-10-02,71.875000,71.875000,71.875000,71.875000,71.875000,920
1991-10-03,71.875000,71.875000,71.875000,71.875000,71.875000,480
1991-10-04,71.875000,71.875000,71.875000,71.875000,71.875000,3480
1991-10-07,71.875000,71.875000,71.875000,71.875000,71.875000,1960
1991-10-08,71.875000,71.875000,71.875000,71.875000,71.875000,480
1991-10-09,71.875000,71.875000,71.875000,71.875000,71.875000,1040
1991-10-10,73.440002,73.440002,73.440002,73.440002,73.440002,744
1991-10-11,73.440002,73.440002,73.440002,73.440002,73.440002,864
1991-10-14,75.000000,75.000000,75.000000,75.000000,75.000000,1680
1991-10-15,75.000000,75.000000,75.000000,75.000000,75.000000,120
1991-10-16,75.000000,75.000000,75.000000,75.000000,75.000000,1200
1991-10-17,75.000000,75.000000,75.000000,75.000000,75.000000,1320
1991-10-18,78.125000,78.125000,78.125000,78.125000,78.125000,8944
1991-10-21,78.125000,78.125000,78.125000,78.125000,78.125000,4520
1991-10-22,78.125000,78.125000,78.125000,78.125000,78.125000,8520
1991-10-23,78.125000,78.125000,78.125000,78.125000,78.125000,6744
1991-10-24,78.125000,78.125000,78.125000,78.125000,78.125000,680
1991-10-25,84.375000,84.375000,84.375000,84.375000,84.375000,6360
1991-10-28,82.815002,82.815002,82.815002,82.815002,82.815002,3664
1991-10-29,81.250000,81.250000,81.250000,81.250000,81.250000,720
1991-10-30,84.375000,84.375000,84.375000,84.375000,84.375000,1960
1991-10-31,84.375000,84.375000,84.375000,84.375000,84.375000,304
1991-11-01,84.375000,84.375000,84.375000,84.375000,84.375000,984
1991-11-04,82.815002,82.815002,82.815002,82.815002,82.815002,560
1991-11-05,82.815002,82.815002,82.815002,82.815002,82.815002,944
1991-11-06,79.690002,79.690002,79.690002,79.690002,79.690002,3440
1991-11-07,79.690002,79.690002,79.690002,79.690002,79.690002,3760
1991-11-08,79.690002,79.690002,79.690002,79.690002,79.690002,440
1991-11-11,79.690002,79.690002,79.690002,79.690002,79.690002,480
1991-11-12,79.690002,79.690002,79.690002,79.690002,79.690002,1400
1991-11-13,79.690002,79.690002,79.690002,79.690002,79.690002,200
